what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358874644599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358874663875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358874663979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358874671993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358874682120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358874691291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358874695514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358874699913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358874701395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358874701689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358874702005
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358874702410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358874709455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358874741012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358874775664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358874776927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358874794731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358874795954
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358874801168
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358874801208
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358874803834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358874805280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358874831326
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358874839968
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358874842201
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358874842917
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358874842982
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358874864515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358874867247
