what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876688957
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358876691187
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358876693417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876695577
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358876695717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876696727
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1358876696777
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1358876698717
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1358876698797
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1358876701867
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1358876702597
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1358876711457
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1358876711467
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358876713137
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1358876714387
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358876714988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358876717438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358876717628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358876717798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358876717988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358876718148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358876718408
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358876718678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358876719748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876725618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876725638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876726048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876726148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876726938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876727048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876727938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876728058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876729468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876729648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876730538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876730998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876732058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876732198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876733108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876733268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876734498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876753838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358876755798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895230646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895231406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895232136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895236381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895256569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895341978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895342078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895345708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895345818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895347448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895348828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895357963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895358093
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358895358143
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358895358203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895360075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895361315
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358895361385
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358895361385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895373698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895388988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895402529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895404309
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1358895408869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1358895411009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895433610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358895433690
