what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897281632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897281652
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358897281662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897284643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897284653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897295335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897308955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1358897356395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1358897357245
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1358897358225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1358897360955
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1358897377816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897382636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897386356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1358897390456
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1358897394286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897398156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897398316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897398476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897398886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897399456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897455857
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897456097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897456127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897456157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897456187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897456227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897456387
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897456567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897456727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897456897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897457047
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897457217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897488797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897489257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897492469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897497479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897498229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897501109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897501129
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358897501139
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358897502309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897502359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897502369
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358897502379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897505409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897505429
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358897505449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897543459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897543469
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358897543649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897546489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897546499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897609172
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897609362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897645282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897649332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897656372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897737736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897787479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1358897791749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1358897796379
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1358897801330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897813282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897813592
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1358897822132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897826922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358897828342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1358897846922
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358897872212
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358897872372
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358897875162
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358897875352
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358897875412
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358897881022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1358897895893
